题号AZH题型AZH题目AZHAAZHBAZHCAZHDAZH答案AZH难度AZH
1AZHCAZH一个完整的计算机系统包括（ ）AZH主机健盘与显示器AZH计算机与外部设备AZH硬件系统与软件系统AZH系统软件与应用软件AZHCAZH0AZH
2AZHCAZH在WPS表格中，使用函数时，每个参数之间用（）号分隔。AZH逗号AZH分号AZH引号AZH大于号AZHAAZH0AZH
3AZHCAZH下列设备中，既可作为输入设备又可作为输出设备的是（ ）AZH鼠标器AZH打印机AZH键盘AZH磁盘驱动器AZHDAZH0AZH
4AZHCAZH如果给定一个带有通配符的文件名F *.？，则在下列各文件中，它能代表的文件名是（ ）AZHFA.EXEAZHF.CAZHEF.CAZHFABC.COMAZHBAZH1AZH
5AZHCAZHWPS表格中数据输入时默认为“常规”样式。有关“样式”的说法中，以下不正确的是（ ）。AZH所谓“样式”即一组已定义并保存了的格式集合AZH用户也可以自己创建“样式”AZH用户可以删除自定义的“样式”AZH用户也可以删除“常规”样式AZHDAZH1AZH
6AZHCAZH如果按字长来划分，微机可以分为8位机、16位机、32位机和64位机。所谓32位机是指该计算机所用的CPU（ ）AZH同时能处理32位二进制数AZH具有32位的寄存器AZH只能处理32位二进制定点数AZH有32个寄存器AZHAAZH1AZH
7AZHCAZHWPS表格中，如果单元格B2中为“乙”，那么向下拖动填充柄到B4，则B4中应为（ ）。AZH丙AZH丁AZH戊AZH#refAZHBAZH1AZH
8AZHCAZH下列设备中只能作为输入设备的是（   ）AZH磁盘驱动器AZH鼠标器AZH存储器AZH显示器AZHBAZH0AZH
9AZHCAZH应用软件是指（ ）AZH所有能够使用的软件AZH能被各应用单位共同使用的某种软件AZH所有微机上都应使用的基本软件AZH专门为某一应用目的而编制的软件AZHDAZH0AZH
10AZHCAZH下列述叙中错误的是（ ）AZH计算机要经常使用不要长期闲置不用AZH计算机要轻拿轻放AZH在计算机附近应避免磁场干扰AZH计算机用几小时后，应关机一会儿再用AZHDAZH0AZH
11AZHCAZH在WPS文字中"打开"文档的作用是（ ）AZH将指定的文档从内存中读入，并显示出来AZH为指定的文档打开一个空白窗口AZH将指定的文档从外存中读入，并显示出来AZH显示并打印指走文档的内容AZHCAZH0AZH
12AZHCAZH用晶体管作为电子器件制成的计算机属于（ ）AZH第一代AZH第二代AZH第三代AZH第四代AZHBAZH0AZH
13AZHCAZH在WPS文字的编辑状态，执行编辑命令"粘贴"后（ ）AZH将文档中被选择的内容复制到当前插入点处AZH将文档中被选择的内容移到剪贴板AZH将剪贴板中的内容移到当前插入点处AZH将剪贴板中的内容拷贝到当前插入点处AZHDAZH0AZH
14AZHCAZH计算机的软件系统可分类为（ ）AZH程序与数据AZH系统软件与应用软件AZH操作系统与语言处理程序AZH程序、数据与文档AZHBAZH1AZH
15AZHCAZH通常所说的主机主要包括（ ）AZHCPUAZHCPU和内存AZHCPU、内存与外存AZHCPU、内存与硬盘AZHBAZH0AZH
16AZHCAZH在微机系统中,最基本的输入输出模块BIOS存放在（ ）AZHRAM中AZHROM中AZH硬盘中AZH寄存器中AZHBAZH1AZH
17AZHCAZH在WPS文字中，可以显示分页效果视图模式是（ ）AZH普通视图AZH大纲视图AZH页面视图AZH阅读视图AZHCAZH0AZH
18AZHCAZHbit的意思是（ ）AZH字AZH字长AZH字节AZH二进制位AZHDAZH0AZH
19AZHCAZH使用超大规模集成电路制造的计算机应该归属于（ ）AZH第一代AZH第二代AZH第三代AZH第四代AZHDAZH0AZH
20AZHCAZH磁盘处处于写保护状态,那么磁盘中的数据（ ）AZH不能读出,不能删改,也不能定入新数据AZH可以读出,不能删改,也不能写入新数据AZH可以读出,可以删改,但不能写入新数据AZH可以读出,不能删改,但可以写入新数据AZHBAZH0AZH
21AZHCAZHCD-ROM属于（  ）。AZH感觉媒体AZH表示媒体AZH表现媒体AZH存储媒体AZHDAZH0AZH
22AZHCAZHWPS文字中项目编号的作用是（     ）。AZH为每个段落编号AZH为每一句话编号AZH为每行编号AZH以上都正确AZHAAZH0AZH
23AZHCAZHCPU主要由运算器与控制器组成，下列说法中正确的是（ ）AZH运算器主要负责分析指令，并根据指令要求作相应的运算AZH控制器主要完成对数据的运算，包括算术运算和逻辑运算AZH控制器主要负责分析指令，并根据指令要求作相应的运算AZH控制器直接控制计算机系统的输入与输出操作AZHDAZH1AZH
24AZHCAZH下列述叙中正确的是（ ）AZH显示器和打印机都是输出设备AZH显示器只能显示字符AZH通常的彩色显示器都有7种颜色AZH打印机只能打印字符和表格AZHAAZH1AZH
25AZHCAZH计算机的内存储器比外存储器（ ）AZH价格便宜AZH存储容量大AZH读写速度快AZH读写速度慢AZHCAZH0AZH
26AZHCAZH计算机软件一般包括系统软件和（ ）AZH字处理软件AZH应用软件AZH管理软件AZH科学计算机软件AZHBAZH0AZH
27AZHCAZH在WPS文字中"减少缩进量"和"增加缩进量"调整的是(      )AZH全文的左缩进AZH右缩进AZH选定段落的左缩进AZH所有缩进AZHCAZH0AZH
28AZHCAZH在Windows操作系统中（ ）AZH同一时刻可以有多个活动窗口AZH同一时刻可以有多个应用程序在运行，但只有一个活动窗口AZH同一时刻只能有一个打开的窗口AZHDOS应用程序窗口与Windows应用程序窗口不能同时打开着AZHBAZH1AZH
29AZHCAZH切断计算机电源后,下列存储器中的信息会丢失的是:（ ）AZHRAMAZHROMAZH光盘AZH硬盘AZHAAZH0AZH
30AZHCAZHWindows环境下,PrintScreen键的作用是（ ）AZH复制当前窗口到剪贴板AZH打印当前窗口的内容AZH复制屏幕到剪贴板AZH打印屏幕内容AZHCAZH1AZH
31AZHCAZH在Windows环境下,为了终止应用程序的运行,应（ ）AZH关闭该应用程序窗口AZH最小化该应用程序窗口AZH双击该应用程序窗口的标题栏AZH将该应用程序窗口移出屏幕AZHAAZH0AZH
32AZHCAZH下列说法中正确的是（ ）AZH计算机体积越大，其功能就越强AZH在微机性能指标中，CPU主频越高，其运算速度越快AZH两个显示器屏幕大小相同，则它们的分辨率必定相同AZH点阵打印机的针数越多，则能打印的汉字字体就超多AZHBAZH1AZH
33AZHCAZH某优盘上已染有病毒，为防止该病毒传染计算机系统，正确的措施是（ ）AZH删除该优盘上所有程序AZH给该优盘消毒AZH将该优盘放一段时间后再用AZH将该优盘重新格式化AZHDAZH0AZH
34AZHCAZHCPU是由( )组成的。AZH内存储器和控制器AZH控制器和运算器AZH内存储器和运算器AZH内存储器、控制器和运算器AZHBAZH0AZH
35AZHCAZH第一台数字电子计算机ENIAC诞生于（ ）.AZH1927年AZH1938年AZH1946年AZH1951年AZHCAZH0AZH
36AZHCAZH当个人计算机以拨号方式接入Internet网时，必须使用的设备是（ ）AZH网卡AZH调制解调器（Modem）AZH电话机AZH浏览器软AZHBAZH0AZH
37AZHCAZH某工厂的仓库管理软件属于（ ）AZH应用软件AZH系统软件AZH工具软件AZH字处理软件AZHAAZH0AZH
38AZHCAZH微型计算机的主机包括（ ）AZH运算器和显示器AZHCPU和内存储器AZHCPU和UPSAZHUPS和内存储器AZHBAZH0AZH
39AZHCAZHWPS表格中，某些数据的输入和显示是不一定完全相同的，当需要计算时，一律以(      )为准。AZH输入值AZH显示值AZH平均值AZH误差值AZHAAZH0AZH
40AZHCAZH计算机病毒是指（ ）AZH编制有错误的计算机程序AZH设计不完善的计算机程序AZH计算机的程序已被破坏AZH以危害系统为目的的特殊的计算机程序AZHDAZH0AZH
41AZHCAZH在计算机应用中，"计算机辅助设计"的英文缩写为（ ）AZHCADAZHCAMAZHCAEAZHCATAZHAAZH1AZH
42AZHCAZH在微型计算机存储器中，不能用指令修改其存储内容的部分是（ ）AZHRAMAZHDRAMAZHROMAZHSRAMAZHCAZH1AZH
43AZHCAZH下列设备中，不属于手持设备的是（    ）AZH笔记本电脑AZH掌上电脑AZHPDAAZH智能手机AZHAAZH1AZH
44AZHCAZHWPS表格中，如果在多个选中的工作表（      ）中的一个工作表任意单元格输入数据或设置格式，则在工作表组其它工作表的相同单元格出现(      )数据或格式。AZH不同的AZH不一定不同的AZH相同的AZH不一定相同的AZHCAZH0AZH
45AZHCAZH下列几种存储器中,存取周期最短的是 （ ）AZH内存储器AZH光盘存储器AZH硬盘存储器AZH高速缓冲存储器AZHDAZH1AZH
46AZHCAZH微型计算机键盘上的Shift键称为（ ）AZH回车换行键AZH退格键AZH换档键AZH空格键AZHCAZH1AZH
47AZHCAZHWPS表格中的“引用”可以是单元格或单元格区域，引用所代表的内容是(      )AZH数值AZH文字AZH逻辑值AZH以上值都可以AZHDAZH1AZH
48AZHCAZH下列四种设备中，属于计算机输入设备的是（ ）AZHUPSAZH服务器AZH绘图仪AZH鼠标器AZHDAZH0AZH
